Feature,Importance
Team_DetonatioN FocusMe,0.021049283
Team_Nova Esports,0.020424666
Team_EDward Gaming,0.018987259
Team_Xi Lai Gaming,0.01823772
Team_Wolves Esports,0.017514452
Team_Paper Rex,0.017005663
Role_Initiator,0.016826255
Team_Global Esports,0.015967552
Team_Team Heretics,0.01568707
Team_TYLOO,0.015216372
Role_Duelist,0.0150345415
Team_G2 Esports,0.014967745
Team_Cloud9,0.014664265
Team_ZETA DIVISION,0.014056654
Team_2Game Esports,0.013815513
Team_Team Secret,0.01355488
Team_Sentinels,0.013062394
Team_DRX,0.012996871
Team_Apeks,0.012453185
Team_Gen.G,0.012317635
Team_Titan Esports Club,0.012238374
Team_BLEED,0.012234621
Team_All Gamers,0.012231442
Role_Sentinel,0.012124714
Team_MIBR,0.0117387585
Agent_phoenix,0.011643788
Team_Evil Geniuses,0.011584061
Role_Controller,0.011324436
Team_FNATIC,0.011141128
Team_PCIFIC Esports,0.010910517
Team_Trace Esports,0.010882345
Team_BOOM Esports,0.010783955
Team_Mega Minors,0.01056008
Team_KOI,0.010335042
Team_Nongshim RedForce,0.010057169
Team_KR������ Esports,0.009825229
Team_T1,0.009822785
Team_VARREL,0.009806002
Team_TALON,0.009805816
Team_Bilibili Gaming,0.009710089
Team_BBL Esports,0.009437136
Team_LOUD,0.009402557
Team_FunPlus Phoenix,0.009381446
Team_100 Thieves,0.009313724
Agent_omen,0.009278941
Agent_astra,0.009180208
Team_Eternal Fire,0.009100055
Agent_killjoy,0.009004304
Team_Karmine Corp,0.008737858
Agent_viper,0.008722089
Agent_skye,0.008669192
Team_FURIA,0.008572085
Team_Gentle Mates,0.0084623275
Team_Team Vitality,0.008335908
Agent_cypher,0.00824605
Team_FUT Esports,0.008219893
Team_JDG Esports,0.007912984
Team_LEVIAT������N,0.007797888
Agent_fade,0.007761063
Agent_veto,0.0077183894
Team_Natus Vincere,0.0076944893
Map_Sunset,0.00768579
Team_Team Liquid,0.0076393723
Agent_waylay,0.0075536203
Agent_neon,0.0075072763
Team_GIANTX,0.007296519
Agent_raze,0.007285695
Agent_sova,0.007273369
Agent_kayo,0.0072642667
Team_LEVIATÁN,0.0072632222
Team_KRÜ Esports,0.00725921
Agent_tejo,0.0072190557
Team_Talon Esports,0.007055727
Team_Rex Regum Qeon,0.007039646
Agent_gekko,0.006912609
Agent_clove,0.0068808137
Agent_deadlock,0.006805885
Team_NRG Esports,0.006743432
Agent_jett,0.0067143454
Map_Icebox,0.006639321
Year_2026,0.006611669
Agent_vyse,0.006553905
Team_FULL SENSE,0.006419043
Agent_sage,0.0062945485
Agent_brimstone,0.006162944
Agent_yoru,0.0060901865
Agent_chamber,0.006034199
Team_ENVY,0.005932286
Map_Breeze,0.0059005446
Agent_harbor,0.0058987522
Agent_breach,0.0058748196
Map_Split,0.005668787
Year_2025,0.0056538405
Map_Corrode,0.0056499536
Map_Haven,0.005542084
Team_ULF Esports,0.005490605
Team_Dragon Ranger Gaming,0.0054277102
Map_Ascent,0.0054213833
Agent_reyna,0.005367491
Map_Pearl,0.005293303
Map_Abyss,0.0052110585
Agent_iso,0.005001154
Map_Bind,0.0048821117
Team_Kiwoom DRX,0.0047410685
Map_Lotus,0.0045173615
Year_2024,0.004472533
Map_Fracture,0.0042984723
Agent_miks,0.0
